"id2","variable","value","p"
307002,"X35_to_39_years",44,4.6218487394958
307002,"X40_to_44_years",45,4.72689075630252
307002,"X45_to_49_years",62,6.51260504201681
307002,"X50_to_54_years",59,6.19747899159664
307002,"X55_to_59_years",31,3.2563025210084
307002,"X60_and_61_years",21,2.20588235294118
307002,"X62_to_64_years",27,2.83613445378151
307002,"X65_and_66_years",14,1.47058823529412
307002,"X67_to_69_years",17,1.78571428571429
307002,"X70_to_74_years",43,4.51680672268908
307002,"X75_to_79_years",54,5.67226890756303
307002,"X80_to_84_years",59,6.19747899159664
307002,"X85_years_and_over",92,9.66386554621849
307003,"Xunder_5_years",53,6.04332953249715
307003,"X5_to_9_years",50,5.70125427594071
307003,"X10_to_14_years",34,3.87685290763968
307003,"X15_to_17_years",23,2.62257696693273
307003,"X18_to_21_years",60,6.84150513112885
307003,"X22_to_24_years",62,7.06955530216648
307003,"X25_to_29_years",93,10.6043329532497
307003,"X30_to_34_years",49,5.58722919042189
307003,"X35_to_39_years",48,5.47320410490308
307003,"X40_to_44_years",56,6.38540478905359
307003,"X45_to_49_years",79,9.00798175598632
307003,"X50_to_54_years",67,7.63968072976055
307003,"X55_to_59_years",53,6.04332953249715
307003,"X60_and_61_years",12,1.36830102622577
307003,"X62_to_64_years",25,2.85062713797035
307003,"X65_and_66_years",14,1.5963511972634
307003,"X67_to_69_years",26,2.96465222348917
307003,"X70_to_74_years",20,2.28050171037628
307003,"X75_to_79_years",27,3.07867730900798
307003,"X80_to_84_years",12,1.36830102622577
307003,"X85_years_and_over",14,1.5963511972634
307004,"Xunder_5_years",45,3.8961038961039
307004,"X5_to_9_years",37,3.2034632034632
307004,"X10_to_14_years",29,2.51082251082251
307004,"X15_to_17_years",27,2.33766233766234
307004,"X18_to_21_years",86,7.44588744588745
307004,"X22_to_24_years",112,9.6969696969697
307004,"X25_to_29_years",102,8.83116883116883
307004,"X30_to_34_years",58,5.02164502164502
307004,"X35_to_39_years",58,5.02164502164502
307004,"X40_to_44_years",72,6.23376623376623
307004,"X45_to_49_years",88,7.61904761904762
307004,"X50_to_54_years",84,7.27272727272727
307004,"X55_to_59_years",99,8.57142857142857
307004,"X60_and_61_years",49,4.24242424242424
307004,"X62_to_64_years",40,3.46320346320346
307004,"X65_and_66_years",11,0.952380952380952
307004,"X67_to_69_years",28,2.42424242424242
307004,"X70_to_74_years",41,3.54978354978355
307004,"X75_to_79_years",25,2.16450216450216
307004,"X80_to_84_years",26,2.25108225108225
307004,"X85_years_and_over",38,3.29004329004329
308001,"Xunder_5_years",53,5.59662090813094
308001,"X5_to_9_years",37,3.90707497360084
308001,"X10_to_14_years",53,5.59662090813094
308001,"X15_to_17_years",27,2.85110876451954
308001,"X18_to_21_years",62,6.54699049630412
308001,"X22_to_24_years",40,4.22386483632524
308001,"X25_to_29_years",83,8.76451953537487
308001,"X30_to_34_years",70,7.39176346356917
308001,"X35_to_39_years",51,5.38542766631468
308001,"X40_to_44_years",64,6.75818373812038
308001,"X45_to_49_years",82,8.65892291446674
308001,"X50_to_54_years",71,7.4973600844773
308001,"X55_to_59_years",49,5.17423442449842
308001,"X60_and_61_years",32,3.37909186906019
308001,"X62_to_64_years",32,3.37909186906019
308001,"X65_and_66_years",11,1.16156282998944
308001,"X67_to_69_years",28,2.95670538542767
308001,"X70_to_74_years",19,2.00633579725449
308001,"X75_to_79_years",29,3.0623020063358
308001,"X80_to_84_years",24,2.53431890179514
308001,"X85_years_and_over",30,3.16789862724393
308002,"Xunder_5_years",71,4.70822281167109
308002,"X5_to_9_years",57,3.77984084880637
308002,"X10_to_14_years",75,4.97347480106101
308002,"X15_to_17_years",49,3.24933687002653
308002,"X18_to_21_years",78,5.17241379310345
308002,"X22_to_24_years",84,5.57029177718833
308002,"X25_to_29_years",101,6.69761273209549
308002,"X30_to_34_years",86,5.70291777188329
308002,"X35_to_39_years",97,6.43236074270557
308002,"X40_to_44_years",102,6.76392572944297
308002,"X45_to_49_years",101,6.69761273209549
308002,"X50_to_54_years",114,7.55968169761273
308002,"X55_to_59_years",107,7.09549071618037
